,blog_count,blog_freq_per_million,general_freq_per_million,distinctiveness,rank
novel,551,871.1793016652015,11,79.19811833320013,1
story,324,512.2724024310803,9,56.91915582567559,2
poem,126,199.2170453898646,7,28.4595779128378,3
literary,73,115.41939931317552,6,19.23656655219592,4
fiction,96,151.78441553513494,8,18.973051941891868,5
poetry,105,166.0142044915538,10,16.60142044915538,6
author,135,213.4468343462835,14,15.246202453305965,7
character,104,164.4331168297295,12,13.702759735810792,8
reader,111,175.50073046249977,15,11.700048697499986,9
text,94,148.6222402114863,13,11.432480016268176,10
language,261,412.6638797361481,40,10.316596993403703,11
book,521,823.7466718104719,90,9.152740797894133,12
culture,137,216.60900966993214,24,9.02537540291384,13
memory,202,319.3797076885131,36,8.871658546903141,14
idea,172,271.9470778337834,42,6.47493042461389,15
literature,201,317.7986200266888,52,6.11151192359017,16
experience,142,224.51444797905373,38,5.908274946817204,17
family,407,643.5026783624991,120,5.362522319687492,18
context,54,85.3787337385134,16,5.336170858657088,19
theory,159,251.39293823006722,48,5.237352879793067,20
school,261,412.6638797361481,100,4.126638797361481,21
study,113,178.6629057861484,50,3.573258115722968,22
children,259,409.50170441249946,130,3.1500131108653804,23
life,948,1498.8711034094574,530,2.8280586856782217,24
university,124,196.05487006621595,70,2.800783858088799,25
knowledge,77,121.74374996047281,44,2.766903408192564,26
history,259,409.50170441249946,150,2.7300113627499965,27
view,77,121.74374996047281,46,2.6466032600102785,28
never,634,1002.4095775966201,400,2.50602394399155,29
fact,325,513.8534900929047,210,2.4469213813947843,30
old,822,1299.6540580195926,540,2.406766774110357,31
where,661,1045.098944465877,440,2.3752248737860837,32
very,843,1332.8568989179034,590,2.259079489691362,33
human,280,442.7045453108102,200,2.213522726554051,34
here,805,1272.7755677685793,580,2.1944406340837577,35
part,356,562.8672076094587,260,2.164873875420995,36
much,766,1211.113148957431,560,2.162702051709698,37
critical,35,55.338068163851275,26,2.1283872370712027,38
even,1119,1769.2370935814165,835,2.118846818660379,39
water,107,169.17637981520247,80,2.114704747690031,40
long,644,1018.2204542148635,500,2.036440908429727,41
because,997,1576.3443988388492,776,2.0313716479882076,42
still,532,841.1386360905393,420,2.002711038310808,43
those,471,744.6922887192558,380,1.9597165492611994,44
right,510,806.3547075304043,430,1.8752435058846613,45
our,992,1568.4389605297276,883,1.7762615634538252,46
world,572,904.3821425635124,520,1.7391964280067547,47
new,863,1364.4786521543901,831,1.6419719039162337,48
most,779,1231.667288561147,752,1.6378554369164189,49
home,358,566.0293829331073,350,1.6172268083803065,50
also,1000,1581.0876618243221,998,1.5842561741726675,51
structure,28,44.27045453108102,28,1.5810876618243221,52
while,442,698.8407465263505,450,1.5529794367252232,53
first,838,1324.951460608782,858,1.544232471572007,54
great,472,746.2733763810801,490,1.523006890573633,55
now,1150,1818.2508110979704,1212,1.5002069398498106,56
two,877,1386.6138794199305,931,1.489381180902181,57
then,1175,1857.7780026435785,1253,1.482664008494476,58
but,4792,7576.5720754621525,5303,1.4287331841339153,59
only,971,1535.2361196314168,1082,1.4188873564061153,60
than,1117,1766.0749182577679,1259,1.4027600621586718,61
which,1926,3045.1748366736447,2174,1.4007243958940407,62
high,265,418.98823038344534,300,1.3966274346114844,63
these,668,1056.1665580986473,770,1.3716448806475938,64
how,762,1204.7887983101336,907,1.3283228206285929,65
when,1739,2749.5114439124964,2075,1.325065756102408,66
through,393,621.3674510969587,470,1.3220584065892738,67
can,1527,2414.32085960574,1830,1.319301016178,68
same,299,472.7452108854723,360,1.3131811413485341,69
who,1949,3081.539852895604,2362,1.304631605798308,70
should,484,765.246428322972,600,1.27541071387162,71
public,137,216.60900966993214,170,1.2741706451172479,72
its,827,1307.5594963287144,1027,1.2731835407290306,73
small,273,431.63693167803996,340,1.269520387288353,74
down,365,577.0969965658776,460,1.2545586881866904,75
well,670,1059.3287334222957,852,1.2433435838289857,76
before,375,592.9078731841208,480,1.2352247358002517,77
some,1049,1658.560957253714,1347,1.2312998940265136,78
little,396,626.1107140824315,510,1.227668066828297,79
local,147,232.41988628817535,190,1.2232625594114492,80
there,2247,3552.703976119252,2910,1.2208604728932138,81
always,315,498.04261347466144,410,1.2147380816455158,82
place,299,472.7452108854723,390,1.212167207398647,83
into,1120,1770.8181812432408,1462,1.2112299461308076,84
power,105,166.0142044915538,140,1.1858157463682415,85
just,1210,1913.1160708074299,1629,1.1744113387399815,86
case,206,325.7040583358104,280,1.1632287797707512,87
early,226,357.3258115722968,310,1.1526639082977317,88
something,394,622.9485387587829,550,1.1326337068341508,89
method,14,22.13522726554051,20,1.1067613632770255,90
think,697,1102.0181002915526,1013,1.0878757159837638,91
narrative,22,34.78392856013509,32,1.0869977675042215,92
find,249,393.6908277942562,370,1.0640292643088005,93
day,482,762.0842529993233,760,1.0027424381570045,94
one,1974,3121.067044441212,3125,0.9987414542211879,95
