word,count,articles
counterhuman,54,"cornell-english-then-and-now-3b.txt, cornelll-then-and-now-3-c.txt, cornell-entlish-then-and-now.txt"
blague,49,"can-we-forgive-anthony-trollope.txt, new-words-etruscan-related-new-words.txt, another-brooklyn-memoirist-norman-podhoretz.txt"
demotic,12,"edward-thomas.txt, colloquial-conversation-in-othello.txt, nobody-cares.txt"
doppelganger,11,"susan.txt, what_we_read_in_1.txt, flirting-with-i.txt"
pandiculation,8,"words-of-my-life-an-index.txt, pandiculation.txt, words-of-my-life-joint.htm"
simulacrum,8,"sleeping-in-my-life.txt, worldseries2020.txt, shattered.txt"
nascent,7,"cornelll-then-and-now-3-c.txt, an-irish-airman.txt, words-of-my-life-joint.htm"
virago,6,"vaulting-variable-ramps.txt, words-of-my-life-joint.htm, roux-rue.htm"
soporific,6,"sleeping-in-my-life.txt, words-of-my-life-joint.htm, roux-rue.htm"
prosaic,5,"reposted-the-sculpin-slimy-or-mottled.txt, what-we-read-in.txt, the-sculpin-sli.txt"
crepuscular,3,"everything_is_c.txt, silliest-word-.txt, pickwickhorse.txt"
anomie,2,"daniel-fuchs-1.txt, life-on-the-hill-1969-2009.txt"
exegetical,2,"haircuts_a_hist.txt, haircuts-a-lifetime-of-sweating-in-the-chair.txt"
anagnorisis,2,"amnesia-on-film-the-majestic-2001.txt, random-harvest-amnesia.txt"
zeugma,2,"silliest-word-.txt, side-effects.txt"
antediluvian,2,"some-nights-ago.txt, some-things-i-dislike-about-films.txt"
lacunae,2,"henry-james-portrait-of-a-lady-1963-2022.txt, my-swiss-cheese-brain.txt"
sesquipedalian,2,"what_we_read_in_1.txt, silliest-word-.txt"
thanatos,2,morpheus-sleep-lamb.txt
lacuna,2,"duke-duke-duke.txt, reposted-duke-duke-duke.txt"
uncanny,1,rothallen-doppe.txt
cacoethes,1,silliest-word-.txt
jouissance,1,regular_readers.txt
sprezzatura,1,what_we_read_in_1.txt
bricolage,1,where-i-stand.txt
subaltern,1,more_on_king_so.txt
parapraxis,1,jane-austens-emma-harriet-smiths-ancestry.txt
prelapsarian,1,welders-philosophers.txt
patina,1,amnesia-on-film-black-angel.txt
obstreperous,1,boot-booty-bootless-.txt
ersatz,1,new-years-resolutions-2024.txt
zeitgeist,1,my-life-with-shakespeare-i-performance.txt
fuscous,1,two-astonishing-dreams-in-one-night.txt
schadenfreude,1,reading-obituaries.txt
palimpsest,1,adelle-waldman-love-affairs-of-nathaniel-p.txt
inchoate,1,emily-gould-friendship.txt
mimetic,1,colloquial-conversation-in-othello.txt
eructation,1,words-of-my-life-umpire.txt
