word,count,articles
years,1076,"neanderthal-news.txt, stephen-maxfield-parrish-1922-2012.txt, bergmans-the-seventh-seal.txt"
don't,671,"shakuntala-devi.txt, helen-thomas-storms-wing.txt, a-new-much-ado-2012.txt"
There's,536,"amnesia-on-film-private-life-of-sherlock-holmes.txt, helen-thomas-storms-wing.txt, post-friendly-skies-reposted.txt"
Words,468,"shakuntala-devi.txt, helen-thomas-storms-wing.txt, post-friendly-skies-reposted.txt"
Shakespeare,462,"a-new-much-ado-2012.txt, barefoot-to-palestine.txt, birthday.txt"
called,368,"why-we-love-kenneth-faried.txt, yet-another-note-on-nineteenth-century-horsedrawn-vehicles.txt, amnesia-on-film-and-now-ladies-and-gentlemen-2002.txt"
Books,365,"redskins-injuns-native-americans.txt, birthday.txt, three-comments-on-books.txt"
Cornell,354,"birthday.txt, suicides.txt, rah-rah-cornell-football.txt"
can't,349,"can-we-forgive-anthony-trollope.txt, persona.txt, amnesia-on-film-and-now-ladies-and-gentlemen-2002.txt"
didn't,346,"redskins-injuns-native-americans.txt, bergmans-the-seventh-seal.txt, post-friendly-skies-reposted.txt"
writes,343,"birthday.txt, fowles.txt, six-leggedness.txt"
Here's,288,"hyena-news.txt, advice-for-parents-part-one.txt, birthday.txt"
Brooklyn,286,"bergmans-the-seventh-seal.txt, three-comments-on-books.txt, stilts.txt"
seems,272,"amnesia.txt, birthday.txt, colloquial-conversation-in-othello.txt"
Vivian,253,"can-we-forgive-anthony-trollope.txt, birthday.txt, prophecy2015.txt"
friends,252,"can-we-forgive-anthony-trollope.txt, tobacco.txt, edward-thomas.txt"
doesn't,238,"amnesia.txt, why-we-love-kenneth-faried.txt, can-we-forgive-anthony-trollope.txt"
they're,219,"redskins-injuns-native-americans.txt, amnesia.txt, an-early-introduction-to-political-foreboding.txt"
that's,206,"shakuntala-devi.txt, amnesia-on-film-private-life-of-sherlock-holmes.txt, post-friendly-skies-reposted.txt"
women,197,"redskins-injuns-native-americans.txt, an-incontrovertible-proof-of-evolution.txt, can-we-forgive-anthony-trollope.txt"
things,193,"amnesia.txt, helen-thomas-storms-wing.txt, yet-another-note-on-nineteenth-century-horsedrawn-vehicles.txt"
novels,182,"helen-thomas-storms-wing.txt, can-we-forgive-anthony-trollope.txt, yet-another-note-on-nineteenth-century-horsedrawn-vehicles.txt"
Comments,180,"three-comments-on-books.txt, written-six-years-ago-but-as-true-now-as-then.txt, politiciansstereotyping.txt"
Readers,174,"helen-thomas-storms-wing.txt, can-we-forgive-anthony-trollope.txt, yet-another-note-on-nineteenth-century-horsedrawn-vehicles.txt"
you're,174,"can-we-forgive-anthony-trollope.txt, birthday.txt, fowles.txt"
parents,171,"advice-for-parents-part-one.txt, markwayne-mullins-1.txt, fowles.txt"
means,168,"colloquial-conversation-in-othello.txt, ukraine-shtetl.txt, tyrannosaurus-ted-williams-mongols-anemoia-.txt"
heard,165,"a-new-much-ado-2012.txt, politiciansstereotyping.txt, manstand.txt"
asked,156,"advice-for-parents-part-one.txt, sleeping.txt, why-mike-gave-up-religion.txt"
Permalink,155,"words-of-my-life-joint.htm, roux-rue.htm, what-my-father-ate.htm"
makes,154,"shakuntala-devi.txt, why-we-love-kenneth-faried.txt, an-incontrovertible-proof-of-evolution.txt"
she's,150,"shakuntala-devi.txt, advice-for-parents-part-one.txt, can-we-forgive-anthony-trollope.txt"
We're,149,"an-incontrovertible-proof-of-evolution.txt, can-we-forgive-anthony-trollope.txt, airline-seats.txt"
members,146,"neanderthal-news.txt, birthday.txt, stilts.txt"
plays,139,"amnesia.txt, why-we-love-kenneth-faried.txt, a-new-much-ado-2012.txt"
studies,136,"birthday.txt, mary-antin.txt, cornell-english-then-and-now.txt"
Vrain,136,"can-we-forgive-anthony-trollope.txt, birthday.txt, prophecy2015.txt"
wasn't,135,"post-friendly-skies-reposted.txt, advice-for-parents-part-one.txt, a-new-much-ado-2012.txt"
played,134,"amnesia-on-film-and-now-ladies-and-gentlemen-2002.txt, winter-love.txt, amnesia-on-film-the-right-of-way-1931.txt"
takes,133,"amnesia-on-film-and-now-ladies-and-gentlemen-2002.txt, new-careers-for-me-me-me.txt, six-leggedness.txt"
knows,127,"neanderthal-news.txt, shakuntala-devi.txt, an-incontrovertible-proof-of-evolution.txt"
website,127,"can-we-forgive-anthony-trollope.txt, birthday.txt, markwayne-mullins-1.txt"
couldn't,123,"helen-thomas-storms-wing.txt, translation-conundrum.txt, emma-straub-modern-lovers-cortelyou-road.txt"
Let's,121,"birthday.txt, nba-royalty.txt, written-six-years-ago-but-as-true-now-as-then.txt"
happened,120,"birthday.txt, sleeping.txt, politiciansstereotyping.txt"
named,120,"barefoot-to-palestine.txt, more-nba-onomastics.txt, erasmus-basketball-1951.txt"
others,120,"bergmans-the-seventh-seal.txt, lucinda-roanoke.txt, written-six-years-ago-but-as-true-now-as-then.txt"
What's,119,"amnesia.txt, birthday.txt, predictions-2022.txt"
months,116,"amnesia.txt, large-mammal-news-.txt, another-pearlman-gosse-xmas.txt"
students,114,"tobacco.txt, birthday.txt, colloquial-conversation-in-othello.txt"
hours,113,"advice-for-parents-part-one.txt, edward-thomas.txt, fowles.txt"
names,112,"redskins-injuns-native-americans.txt, edward-thomas.txt, more-nba-onomastics.txt"
characters,112,"yet-another-note-on-nineteenth-century-horsedrawn-vehicles.txt, amnesia-on-film-and-now-ladies-and-gentlemen-2002.txt, colloquial-conversation-in-othello.txt"
started,110,"redskins-injuns-native-americans.txt, stephen-maxfield-parrish-1922-2012.txt, shakuntala-devi.txt"
minutes,110,"advice-for-parents-part-one.txt, disasters-consoling.txt, eleanor-roosevelt-brooklyn-539east9.txt"
